    79/299     2.01G   0.04994   0.05236   0.01026    0.1126       170       640    0.9115    0.7231    0.7827    0.4604   0.04062   0.01805  0.008376
    80/299     2.01G    0.0492   0.04822   0.01049    0.1079       114       640     0.923    0.6975    0.7778     0.494   0.03997   0.01818  0.008554
    81/299     2.01G   0.04914   0.05008   0.01041    0.1096       145       640    0.8733    0.7382    0.7873    0.4685   0.04014   0.01849   0.00897
    82/299     2.01G   0.05019   0.05359   0.01055    0.1143       170       640    0.9331    0.7166    0.7916    0.4725   0.03867   0.01726  0.008401
    83/299     2.01G   0.04715   0.04686   0.01003     0.104       117       640    0.9471    0.7633      0.81    0.4718   0.04075   0.01804  0.008471
    84/299     2.01G   0.05273   0.05192   0.01017    0.1148       174       640    0.8972    0.7236    0.7684    0.4446   0.04263   0.01854  0.008602
    85/299     2.01G   0.04802   0.04543   0.01043    0.1039       145       640     0.939    0.7326    0.7794    0.4828   0.03952   0.01813  0.008731
    86/299     2.01G    0.0474   0.04715  0.009883    0.1044        33       640    0.9295    0.7429    0.7691    0.4742   0.03804   0.01809  0.009261
    87/299     2.01G   0.04851   0.05346   0.01026    0.1122       138       640    0.9591    0.7044    0.7735    0.4983   0.03776   0.01792  0.008779
    88/299     2.01G   0.05065   0.05189   0.01012    0.1127        59       640    0.8527    0.7417    0.7782    0.4409   0.04117    0.0174   0.00886
    89/299     2.01G   0.04826   0.04481   0.01011    0.1032        75       640    0.8756    0.7912    0.8039    0.5159    0.0371    0.0168  0.008136
    90/299     2.01G   0.04771   0.04675  0.009535     0.104        78       640    0.9567    0.7717    0.8076    0.5111   0.03805   0.01759    0.0079
    91/299     2.01G   0.04772   0.05035   0.01011    0.1082       146       640     0.963    0.7451    0.8062    0.5238   0.03908   0.01671  0.007674
    92/299     2.01G    0.0483   0.04828  0.009469    0.1061        37       640    0.9622    0.7609    0.8062    0.4992   0.03913   0.01731  0.007659
    93/299     2.01G   0.04656   0.04734  0.009172    0.1031       226       640    0.9595    0.7689    0.7985    0.5183   0.03723   0.01689  0.007511
    94/299     2.01G   0.04524   0.04397  0.009916   0.09913        87       640    0.9262    0.7534    0.8103    0.5252   0.03799   0.01706  0.007395
    95/299     2.01G   0.04534   0.04598  0.009512    0.1008        74       640    0.8885    0.7915    0.8071    0.5354   0.03812    0.0171  0.007574
    96/299     2.01G   0.04847   0.05437  0.008815    0.1117       172       640    0.9601    0.7744    0.8118    0.5228   0.03827   0.01715  0.007975
